timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746381386102,55,DELETE character,200,OK,thread_1000_1_infinite 1-253,text,true,,293,183,1000,1000,http://localhost:3001/character/450,55,0,0
1746381386102,55,POST character ,201,Created,thread_1000_1_infinite 1-242,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386103,55,POST character ,201,Created,thread_1000_1_infinite 1-92,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386103,55,POST character ,201,Created,thread_1000_1_infinite 1-196,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386103,55,DELETE character,200,OK,thread_1000_1_infinite 1-257,text,true,,293,183,1000,1000,http://localhost:3001/character/451,55,0,0
1746381386103,56,DELETE character,200,OK,thread_1000_1_infinite 1-144,text,true,,293,183,1000,1000,http://localhost:3001/character/452,56,0,0
1746381386104,56,GET character id,200,OK,thread_1000_1_infinite 1-166,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386104,56,GET character id,200,OK,thread_1000_1_infinite 1-181,text,true,,273,159,1000,1000,http://localhost:3001/character/2,56,0,0
1746381386104,57,GET characters,200,OK,thread_1000_1_infinite 1-201,text,true,,15857,158,1000,1000,http://localhost:3001/characters,57,0,0
1746381386105,57,GET characters,200,OK,thread_1000_1_infinite 1-80,text,true,,15857,158,1000,1000,http://localhost:3001/characters,57,0,0
1746381386105,57,GET character id,200,OK,thread_1000_1_infinite 1-243,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386105,58,GET characters,200,OK,thread_1000_1_infinite 1-39,text,true,,15857,158,1000,1000,http://localhost:3001/characters,58,0,0
1746381386106,57,GET characters,200,OK,thread_1000_1_infinite 1-102,text,true,,15857,158,1000,1000,http://localhost:3001/characters,57,0,0
1746381386106,57,GET character id,200,OK,thread_1000_1_infinite 1-219,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386106,57,POST character ,201,Created,thread_1000_1_infinite 1-206,text,true,,274,217,1000,1000,http://localhost:3001/character,57,0,0
1746381386106,58,GET characters,200,OK,thread_1000_1_infinite 1-146,text,true,,15892,158,1000,1000,http://localhost:3001/characters,58,0,0
1746381386107,57,POST character ,201,Created,thread_1000_1_infinite 1-51,text,true,,274,217,1000,1000,http://localhost:3001/character,57,0,0
1746381386107,57,GET character id,200,OK,thread_1000_1_infinite 1-246,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386107,58,GET characters,200,OK,thread_1000_1_infinite 1-113,text,true,,15927,158,1000,1000,http://localhost:3001/characters,58,0,0
1746381386108,57,DELETE character,200,OK,thread_1000_1_infinite 1-231,text,true,,293,183,1000,1000,http://localhost:3001/character/447,57,0,0
1746381386108,58,GET characters,200,OK,thread_1000_1_infinite 1-108,text,true,,15892,158,1000,1000,http://localhost:3001/characters,58,0,0
1746381386108,58,GET character id,200,OK,thread_1000_1_infinite 1-269,text,true,,273,159,1000,1000,http://localhost:3001/character/2,58,0,0
1746381386109,57,GET character id,200,OK,thread_1000_1_infinite 1-288,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386109,58,GET characters,200,OK,thread_1000_1_infinite 1-41,text,true,,15892,158,1000,1000,http://localhost:3001/characters,57,0,0
1746381386109,58,GET characters,200,OK,thread_1000_1_infinite 1-1,text,true,,15892,158,1000,1000,http://localhost:3001/characters,57,0,0
1746381386110,57,GET character id,200,OK,thread_1000_1_infinite 1-225,text,true,,273,159,1000,1000,http://localhost:3001/character/2,56,0,0
1746381386110,57,GET character id,200,OK,thread_1000_1_infinite 1-86,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386110,57,GET character id,200,OK,thread_1000_1_infinite 1-171,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386110,57,GET character id,200,OK,thread_1000_1_infinite 1-118,text,true,,273,159,1000,1000,http://localhost:3001/character/2,57,0,0
1746381386112,55,GET character id,200,OK,thread_1000_1_infinite 1-187,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386112,55,DELETE character,200,OK,thread_1000_1_infinite 1-178,text,true,,293,183,1000,1000,http://localhost:3001/character/445,55,0,0
1746381386112,56,GET character id,200,OK,thread_1000_1_infinite 1-31,text,true,,273,159,1000,1000,http://localhost:3001/character/2,56,0,0
1746381386112,56,DELETE character,200,OK,thread_1000_1_infinite 1-239,text,true,,293,183,1000,1000,http://localhost:3001/character/446,56,0,0
1746381386112,56,POST character ,201,Created,thread_1000_1_infinite 1-234,text,true,,274,217,1000,1000,http://localhost:3001/character,56,0,0
1746381386113,55,GET character id,200,OK,thread_1000_1_infinite 1-236,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386114,55,DELETE character,200,OK,thread_1000_1_infinite 1-16,text,true,,293,183,1000,1000,http://localhost:3001/character/447,55,0,0
1746381386114,55,GET characters,200,OK,thread_1000_1_infinite 1-182,text,true,,15822,158,1000,1000,http://localhost:3001/characters,55,0,0
1746381386115,55,GET character id,200,OK,thread_1000_1_infinite 1-130,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386116,54,GET character id,200,OK,thread_1000_1_infinite 1-189,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386116,54,DELETE character,200,OK,thread_1000_1_infinite 1-226,text,true,,293,183,1000,1000,http://localhost:3001/character/447,54,0,0
1746381386117,53,GET character id,200,OK,thread_1000_1_infinite 1-99,text,true,,273,159,1000,1000,http://localhost:3001/character/2,53,0,0
1746381386118,52,DELETE character,200,OK,thread_1000_1_infinite 1-195,text,true,,293,183,1000,1000,http://localhost:3001/character/448,52,0,0
1746381386118,52,GET character id,200,OK,thread_1000_1_infinite 1-35,text,true,,273,159,1000,1000,http://localhost:3001/character/2,52,0,0
1746381386119,51,GET character id,200,OK,thread_1000_1_infinite 1-249,text,true,,273,159,1000,1000,http://localhost:3001/character/2,51,0,0
1746381386117,54,POST character ,201,Created,thread_1000_1_infinite 1-18,text,true,,274,217,1000,1000,http://localhost:3001/character,54,0,0
1746381386077,94,GET character id,200,OK,thread_1000_1_infinite 1-149,text,true,,273,159,1000,1000,http://localhost:3001/character/2,94,0,0
1746381386076,95,POST character ,201,Created,thread_1000_1_infinite 1-240,text,true,,274,217,1000,1000,http://localhost:3001/character,95,0,0
1746381386120,52,GET character id,200,OK,thread_1000_1_infinite 1-49,text,true,,273,159,1000,1000,http://localhost:3001/character/2,52,0,0
1746381383995,2177,GET characters,200,OK,thread_1000_1_infinite 1-163,text,false,"The operation lasted too long: It took 2,177 milliseconds, but should not have lasted longer than 2,000 milliseconds.",15822,158,1000,1000,http://localhost:3001/characters,2177,0,66
1746381386121,52,GET character id,200,OK,thread_1000_1_infinite 1-95,text,true,,273,159,1000,1000,http://localhost:3001/character/2,52,0,0
1746381386121,52,GET character id,200,OK,thread_1000_1_infinite 1-123,text,true,,273,159,1000,1000,http://localhost:3001/character/2,52,0,0
1746381386121,52,DELETE character,200,OK,thread_1000_1_infinite 1-68,text,true,,293,183,1000,1000,http://localhost:3001/character/450,52,0,0
1746381386121,53,GET characters,200,OK,thread_1000_1_infinite 1-258,text,true,,15787,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386122,52,DELETE character,200,OK,thread_1000_1_infinite 1-19,text,true,,293,183,1000,1000,http://localhost:3001/character/450,52,0,0
1746381386122,53,GET characters,200,OK,thread_1000_1_infinite 1-114,text,true,,15752,158,1000,1000,http://localhost:3001/characters,53,0,0
1746381386122,53,GET character id,200,OK,thread_1000_1_infinite 1-73,text,true,,273,159,1000,1000,http://localhost:3001/character/2,53,0,0
1746381386123,53,GET character id,200,OK,thread_1000_1_infinite 1-44,text,true,,273,159,1000,1000,http://localhost:3001/character/2,53,0,0
1746381386123,54,GET characters,200,OK,thread_1000_1_infinite 1-212,text,true,,15752,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386123,54,GET characters,200,OK,thread_1000_1_infinite 1-2,text,true,,15752,158,1000,1000,http://localhost:3001/characters,54,0,0
1746381386123,55,POST character ,201,Created,thread_1000_1_infinite 1-221,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386124,54,POST character ,201,Created,thread_1000_1_infinite 1-32,text,true,,274,217,1000,1000,http://localhost:3001/character,54,0,0
1746381386124,55,DELETE character,200,OK,thread_1000_1_infinite 1-180,text,true,,293,183,1000,1000,http://localhost:3001/character/448,55,0,0
1746381386124,55,POST character ,201,Created,thread_1000_1_infinite 1-9,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386125,54,GET character id,200,OK,thread_1000_1_infinite 1-197,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386125,55,GET character id,200,OK,thread_1000_1_infinite 1-25,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386125,55,POST character ,201,Created,thread_1000_1_infinite 1-7,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386125,56,POST character ,201,Created,thread_1000_1_infinite 1-75,text,true,,274,217,1000,1000,http://localhost:3001/character,56,0,0
1746381386125,56,GET characters,200,OK,thread_1000_1_infinite 1-205,text,true,,15892,158,1000,1000,http://localhost:3001/characters,56,0,0
1746381386126,55,GET character id,200,OK,thread_1000_1_infinite 1-29,text,true,,273,159,1000,1000,http://localhost:3001/character/2,55,0,0
1746381386126,55,POST character ,201,Created,thread_1000_1_infinite 1-263,text,true,,274,217,1000,1000,http://localhost:3001/character,55,0,0
1746381386127,54,GET character id,200,OK,thread_1000_1_infinite 1-275,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386127,55,DELETE character,200,OK,thread_1000_1_infinite 1-280,text,true,,293,183,1000,1000,http://localhost:3001/character/448,55,0,0
1746381386127,55,DELETE character,200,OK,thread_1000_1_infinite 1-12,text,true,,293,183,1000,1000,http://localhost:3001/character/449,55,0,0
1746381386128,55,GET characters,200,OK,thread_1000_1_infinite 1-184,text,true,,15857,158,1000,1000,http://localhost:3001/characters,55,0,0
1746381386128,55,DELETE character,200,OK,thread_1000_1_infinite 1-247,text,true,,293,183,1000,1000,http://localhost:3001/character/449,55,0,0
1746381386129,54,GET character id,200,OK,thread_1000_1_infinite 1-8,text,true,,273,159,1000,1000,http://localhost:3001/character/2,54,0,0
1746381386129,54,DELETE character,200,OK,thread_1000_1_infinite 1-82,text,true,,293,183,1000,1000,http://localhost:3001/character/450,54,0,0
